datetime,r_f,near_Maturity_time,days_in_year,T1_min,next_Maturity_time,T2_min,close
2023-12-01 14:26:00,0.023439,2023-12-27 09:30:00,365,37144.0,2024-01-24 09:30:00,77464.0,0.909
2023-12-01 14:27:00,0.023439,2023-12-27 09:30:00,365,37143.0,2024-01-24 09:30:00,77463.0,0.909
2023-12-01 14:28:00,0.023439,2023-12-27 09:30:00,365,37142.0,2024-01-24 09:30:00,77462.0,0.908
2023-12-01 14:29:00,0.023439,2023-12-27 09:30:00,365,37141.0,2024-01-24 09:30:00,77461.0,0.908
2023-12-01 14:30:00,0.023439,2023-12-27 09:30:00,365,37140.0,2024-01-24 09:30:00,77460.0,0.908
2023-12-01 14:31:00,0.023439,2023-12-27 09:30:00,365,37139.0,2024-01-24 09:30:00,77459.0,0.908
2023-12-01 14:32:00,0.023439,2023-12-27 09:30:00,365,37138.0,2024-01-24 09:30:00,77458.0,0.909
2023-12-01 14:33:00,0.023439,2023-12-27 09:30:00,365,37137.0,2024-01-24 09:30:00,77457.0,0.909
2023-12-01 14:34:00,0.023439,2023-12-27 09:30:00,365,37136.0,2024-01-24 09:30:00,77456.0,0.908
2023-12-01 14:35:00,0.023439,2023-12-27 09:30:00,365,37135.0,2024-01-24 09:30:00,77455.0,0.909
2023-12-01 14:36:00,0.023439,2023-12-27 09:30:00,365,37134.0,2024-01-24 09:30:00,77454.0,0.909
2023-12-01 14:37:00,0.023439,2023-12-27 09:30:00,365,37133.0,2024-01-24 09:30:00,77453.0,0.91
2023-12-01 14:38:00,0.023439,2023-12-27 09:30:00,365,37132.0,2024-01-24 09:30:00,77452.0,0.911
2023-12-01 14:39:00,0.023439,2023-12-27 09:30:00,365,37131.0,2024-01-24 09:30:00,77451.0,0.911
2023-12-01 14:40:00,0.023439,2023-12-27 09:30:00,365,37130.0,2024-01-24 09:30:00,77450.0,0.911
2023-12-01 14:41:00,0.023439,2023-12-27 09:30:00,365,37129.0,2024-01-24 09:30:00,77449.0,0.911
2023-12-01 14:42:00,0.023439,2023-12-27 09:30:00,365,37128.0,2024-01-24 09:30:00,77448.0,0.911
2023-12-01 14:43:00,0.023439,2023-12-27 09:30:00,365,37127.0,2024-01-24 09:30:00,77447.0,0.91
2023-12-01 14:44:00,0.023439,2023-12-27 09:30:00,365,37126.0,2024-01-24 09:30:00,77446.0,0.91
2023-12-01 14:45:00,0.023439,2023-12-27 09:30:00,365,37125.0,2024-01-24 09:30:00,77445.0,0.91
2023-12-01 14:46:00,0.023439,2023-12-27 09:30:00,365,37124.0,2024-01-24 09:30:00,77444.0,0.911
2023-12-01 14:47:00,0.023439,2023-12-27 09:30:00,365,37123.0,2024-01-24 09:30:00,77443.0,0.911
2023-12-01 14:48:00,0.023439,2023-12-27 09:30:00,365,37122.0,2024-01-24 09:30:00,77442.0,0.911
2023-12-01 14:49:00,0.023439,2023-12-27 09:30:00,365,37121.0,2024-01-24 09:30:00,77441.0,0.911
