,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
115,2024-05-10 11:26:00,0.017044,2024-05-17 09:30:00,242,7084.0,2024-06-21 09:30:00,41644.0,5564.3132
116,2024-05-10 11:27:00,0.017044,2024-05-17 09:30:00,242,7083.0,2024-06-21 09:30:00,41643.0,5563.7375
117,2024-05-10 11:28:00,0.017044,2024-05-17 09:30:00,242,7082.0,2024-06-21 09:30:00,41642.0,5564.7978
118,2024-05-10 11:29:00,0.017044,2024-05-17 09:30:00,242,7081.0,2024-06-21 09:30:00,41641.0,5566.0964
119,2024-05-10 11:30:00,0.017044,2024-05-17 09:30:00,242,7080.0,2024-06-21 09:30:00,41640.0,5567.2295
120,2024-05-10 13:01:00,0.017044,2024-05-17 09:30:00,242,6989.0,2024-06-21 09:30:00,41549.0,5566.7149
121,2024-05-10 13:02:00,0.017044,2024-05-17 09:30:00,242,6988.0,2024-06-21 09:30:00,41548.0,5568.1232
122,2024-05-10 13:03:00,0.017044,2024-05-17 09:30:00,242,6987.0,2024-06-21 09:30:00,41547.0,5571.0187
123,2024-05-10 13:04:00,0.017044,2024-05-17 09:30:00,242,6986.0,2024-06-21 09:30:00,41546.0,5575.6113
124,2024-05-10 13:05:00,0.017044,2024-05-17 09:30:00,242,6985.0,2024-06-21 09:30:00,41545.0,5577.2866
125,2024-05-10 13:06:00,0.017044,2024-05-17 09:30:00,242,6984.0,2024-06-21 09:30:00,41544.0,5579.0898
126,2024-05-10 13:07:00,0.017044,2024-05-17 09:30:00,242,6983.0,2024-06-21 09:30:00,41543.0,5577.252
127,2024-05-10 13:08:00,0.017044,2024-05-17 09:30:00,242,6982.0,2024-06-21 09:30:00,41542.0,5577.6933
128,2024-05-10 13:09:00,0.017044,2024-05-17 09:30:00,242,6981.0,2024-06-21 09:30:00,41541.0,5579.0841
129,2024-05-10 13:10:00,0.017044,2024-05-17 09:30:00,242,6980.0,2024-06-21 09:30:00,41540.0,5580.0166
130,2024-05-10 13:11:00,0.017044,2024-05-17 09:30:00,242,6979.0,2024-06-21 09:30:00,41539.0,5581.0453
131,2024-05-10 13:12:00,0.017044,2024-05-17 09:30:00,242,6978.0,2024-06-21 09:30:00,41538.0,5583.2275
132,2024-05-10 13:13:00,0.017044,2024-05-17 09:30:00,242,6977.0,2024-06-21 09:30:00,41537.0,5590.5418
133,2024-05-10 13:14:00,0.017044,2024-05-17 09:30:00,242,6976.0,2024-06-21 09:30:00,41536.0,5590.5008
134,2024-05-10 13:15:00,0.017044,2024-05-17 09:30:00,242,6975.0,2024-06-21 09:30:00,41535.0,5588.136
135,2024-05-10 13:16:00,0.017044,2024-05-17 09:30:00,242,6974.0,2024-06-21 09:30:00,41534.0,5586.3312
136,2024-05-10 13:17:00,0.017044,2024-05-17 09:30:00,242,6973.0,2024-06-21 09:30:00,41533.0,5587.2168
137,2024-05-10 13:18:00,0.017044,2024-05-17 09:30:00,242,6972.0,2024-06-21 09:30:00,41532.0,5584.8443
138,2024-05-10 13:19:00,0.017044,2024-05-17 09:30:00,242,6971.0,2024-06-21 09:30:00,41531.0,5586.4944
139,2024-05-10 13:20:00,0.017044,2024-05-17 09:30:00,242,6970.0,2024-06-21 09:30:00,41530.0,5587.1566
140,2024-05-10 13:21:00,0.017044,2024-05-17 09:30:00,242,6969.0,2024-06-21 09:30:00,41529.0,5589.4994
141,2024-05-10 13:22:00,0.017044,2024-05-17 09:30:00,242,6968.0,2024-06-21 09:30:00,41528.0,5587.3245
